Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;8;Centered;2857,6;2857,6;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2882,0;2882,0;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2653,1;2653,1;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3843,2;3843,2;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;5272,1;5272,1;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4844,7;4844,7;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;1441,2;1441,2;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;4301,0;4301,0;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4260,8;4260,8;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;10921,5;10921,5;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3945,3;3945,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5147,0;5147,0;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;4403,8;4403,8;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3795,4;3795,4;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;2;Centered;5648,8;5648,8;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4287,3;4287,3;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3773,4;3773,4;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1750,0;1750,0;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3922,9;3922,9;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3721,2;3721,2;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2757,3;2757,3;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2956,5;2956,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3635,6;3635,6;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;8073,5;8073,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;6281,9;6281,9;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;6364,5;6364,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3913,8;3913,8;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;1865,7;1865,7;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4129,6;4129,6;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;4186,9;4186,9;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2793,5;2793,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;8818,5;8818,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;5937,5;5937,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
